loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
200,0.100,4.845,11.942,0.000,2.692,9.391,0.076,1.373,9.262,0.027,3.039,9.705,-0.076,0.000,0.000,0.000,0.000,0,0.233,0.010,814,1017,1472,1102,2.655,9.339
201,0.100,4.845,11.942,0.000,2.702,9.401,0.137,1.373,9.262,0.005,3.047,9.715,-0.015,0.000,0.000,0.000,0.000,0,0.232,0.009,814,1017,1470,1102,2.747,9.339
202,0.100,4.845,11.942,-0.005,2.714,9.396,0.076,1.373,9.262,0.000,3.087,9.693,0.000,0.000,0.000,0.000,0.000,0,0.233,0.009,814,1017,1470,1102,2.655,9.339
203,0.100,4.845,11.942,0.005,2.692,9.370,0.107,1.373,9.262,0.000,3.063,9.698,0.000,0.000,0.000,0.000,0.000,0,0.235,0.009,814,1017,1470,1102,2.655,9.339
204,0.100,4.845,11.942,0.005,2.719,9.377,0.000,1.373,9.262,0.000,3.025,9.693,0.000,0.000,0.000,0.000,0.000,0,0.237,0.009,814,1017,1469,1103,2.655,9.339
205,0.100,4.845,11.942,-0.005,2.747,9.382,0.000,1.373,9.262,0.000,3.056,9.669,-0.046,0.000,0.000,0.000,0.000,0,0.237,0.009,814,1017,1471,1102,2.655,9.339
206,0.100,4.845,11.942,-0.005,2.740,9.408,-0.015,1.373,9.262,0.016,3.075,9.695,-0.137,0.000,0.000,0.000,0.000,0,0.240,0.010,814,1017,1468,1103,2.655,9.339
207,0.100,4.823,11.942,0.005,2.685,9.420,-0.046,1.373,9.262,0.000,3.049,9.719,-0.076,0.000,0.000,0.000,0.000,0,0.249,0.009,814,1017,1466,1103,2.747,9.339
208,0.100,4.823,11.942,0.005,2.683,9.399,-0.046,1.373,9.262,-0.005,3.013,9.722,0.015,0.000,0.000,0.000,0.000,0,0.253,0.010,817,1017,1465,1103,2.655,9.339
209,0.100,4.823,11.942,0.005,2.750,9.408,0.000,1.373,9.262,0.000,3.051,9.707,0.015,0.000,0.000,0.000,0.000,0,0.257,0.009,814,1018,1465,1103,2.655,9.339
210,0.100,4.823,11.942,0.000,2.769,9.389,0.015,1.373,9.262,-0.005,3.023,9.715,-0.076,0.000,0.000,0.000,0.000,0,0.261,0.010,814,1017,1466,1103,2.655,9.339
211,0.100,4.823,11.942,-0.016,2.755,9.346,0.000,1.351,9.262,0.005,3.037,9.705,-0.076,0.000,0.000,0.000,0.000,0,0.263,0.010,814,1017,1464,1103,2.747,9.339
212,0.100,4.823,11.942,-0.005,2.719,9.322,0.000,1.351,9.262,0.005,3.061,9.693,-0.076,0.000,0.000,0.000,0.000,0,0.262,0.009,814,1017,1464,1103,2.747,9.339
213,0.100,4.823,11.942,0.016,2.728,9.367,0.000,1.351,9.262,0.005,2.987,9.688,-0.046,0.000,0.000,0.000,0.000,0,0.257,0.009,816,1017,1464,1103,2.747,9.339
214,0.100,4.823,11.942,0.000,2.735,9.399,0.000,1.351,9.262,0.000,3.030,9.686,-0.046,0.000,0.000,0.000,0.000,0,0.254,0.009,814,1017,1464,1102,2.655,9.247
215,0.100,4.823,11.942,-0.016,2.745,9.384,-0.046,1.351,9.262,-0.005,3.083,9.652,0.015,0.000,0.000,0.000,0.000,0,0.251,0.009,814,1017,1466,1102,2.655,9.339
216,0.100,4.823,11.942,0.005,2.723,9.370,0.076,1.351,9.262,-0.005,3.013,9.660,0.046,0.000,0.000,0.000,0.000,0,0.250,0.009,814,1017,1465,1103,2.655,9.339
217,0.100,4.823,11.942,-0.005,2.664,9.363,0.046,1.351,9.262,-0.016,2.994,9.669,-0.015,0.000,0.000,0.000,0.000,0,0.253,0.010,814,1017,1465,1103,2.655,9.339
218,0.100,4.823,11.942,-0.005,2.745,9.379,0.076,1.351,9.262,0.005,3.001,9.676,-0.046,0.000,0.000,0.000,0.000,0,0.249,0.010,815,1017,1466,1103,2.655,9.339
219,0.100,4.823,11.942,0.005,2.738,9.375,0.000,1.329,9.262,0.000,2.989,9.724,-0.198,0.000,0.000,0.000,0.000,0,0.247,0.009,814,1018,1467,1102,2.655,9.339
220,0.100,4.823,11.942,0.000,2.671,9.408,-0.137,1.329,9.262,0.016,3.042,9.710,-0.229,0.000,0.000,0.000,0.000,0,0.243,0.010,814,1017,1467,1103,2.655,9.339
221,0.100,4.823,11.942,-0.005,2.659,9.387,-0.168,1.329,9.262,-0.016,3.051,9.681,-0.168,0.000,0.000,0.000,0.000,0,0.240,0.009,814,1017,1468,1103,2.655,9.339
222,0.100,4.801,11.942,0.000,2.690,9.346,-0.107,1.329,9.262,0.000,2.968,9.674,-0.107,0.000,0.000,0.000,0.000,0,0.238,0.009,814,1017,1469,1103,2.655,9.339
223,0.100,4.801,11.942,0.000,2.723,9.372,0.000,1.329,9.262,0.000,3.001,9.679,-0.259,0.000,0.000,0.000,0.000,0,0.235,0.009,814,1017,1468,1103,2.655,9.339
224,0.100,4.801,11.942,0.005,2.709,9.387,-0.015,1.329,9.262,0.000,3.025,9.679,-0.320,0.000,0.000,0.000,0.000,0,0.232,0.010,814,1017,1468,1103,2.655,9.339
225,0.100,4.801,11.942,0.000,2.733,9.375,-0.137,1.329,9.262,0.000,2.984,9.674,-0.137,0.000,0.000,0.000,0.000,0,0.229,0.009,814,1017,1468,1103,2.655,9.339
226,0.100,4.801,11.942,-0.005,2.707,9.351,-0.137,1.307,9.262,0.016,3.018,9.621,-0.229,0.000,0.000,0.000,0.000,0,0.228,0.010,814,1017,1468,1104,2.655,9.339
227,0.100,4.801,11.942,-0.005,2.723,9.403,-0.107,1.329,9.262,-0.005,3.049,9.624,-0.107,0.000,0.000,0.000,0.000,0,0.234,0.009,814,1017,1467,1105,2.655,9.339
228,0.100,4.801,11.942,-0.005,2.723,9.382,-0.137,1.329,9.262,0.000,3.056,9.664,-0.046,0.000,0.000,0.000,0.000,0,0.239,0.010,814,1017,1467,1105,2.655,9.339
229,0.100,4.801,11.942,0.016,2.704,9.363,-0.137,1.329,9.262,0.000,3.004,9.645,0.000,0.000,0.000,0.000,0.000,0,0.245,0.010,814,1017,1467,1105,2.655,9.339
230,0.100,4.801,11.942,0.000,2.719,9.387,-0.137,1.307,9.262,-0.016,2.958,9.645,-0.046,0.000,0.000,0.000,0.000,0,0.255,0.009,816,1017,1463,1104,2.655,9.339
231,0.100,4.801,11.942,0.005,2.697,9.346,-0.107,1.307,9.262,0.000,3.054,9.662,-0.076,0.000,0.000,0.000,0.000,0,0.263,0.009,814,1018,1461,1105,2.655,9.339
232,0.100,4.801,11.942,0.000,2.700,9.353,-0.168,1.307,9.262,0.000,3.037,9.688,-0.137,0.000,0.000,0.000,0.000,0,0.261,0.010,814,1017,1462,1105,2.655,9.339
233,0.100,4.801,11.942,0.000,2.719,9.382,-0.320,1.307,9.262,0.005,2.953,9.681,-0.198,0.000,0.000,0.000,0.000,0,0.258,0.009,814,1017,1464,1103,2.655,9.339
234,0.100,4.801,11.942,-0.016,2.721,9.370,-0.259,1.307,9.262,0.005,3.056,9.664,-0.198,0.000,0.000,0.000,0.000,0,0.254,0.010,814,1017,1465,1103,2.655,9.339
235,0.100,4.801,11.942,0.000,2.695,9.377,-0.168,1.307,9.262,0.000,3.073,9.657,-0.107,0.000,0.000,0.000,0.000,0,0.253,0.009,814,1017,1463,1102,2.655,9.339
236,0.100,4.801,11.942,-0.005,2.723,9.403,-0.137,1.307,9.262,0.005,3.056,9.626,-0.076,0.000,0.000,0.000,0.000,0,0.253,0.009,815,1017,1463,1103,2.655,9.339
237,0.100,4.801,11.942,0.000,2.757,9.394,-0.137,1.329,9.262,-0.005,3.114,9.645,-0.137,0.000,0.000,0.000,0.000,0,0.251,0.010,814,1017,1463,1104,2.655,9.339
238,0.100,4.801,11.942,0.000,2.738,9.341,-0.412,1.329,9.262,-0.005,2.994,9.657,-0.290,0.000,0.000,0.000,0.000,0,0.248,0.009,814,1017,1466,1103,2.655,9.339
239,0.100,4.801,11.942,0.005,2.709,9.296,-0.259,1.307,9.262,0.016,2.934,9.645,-0.351,0.000,0.000,0.000,0.000,0,0.245,0.010,814,1017,1467,1103,2.747,9.339
240,0.100,4.801,11.942,0.005,2.752,9.344,-0.076,1.307,9.262,-0.005,3.004,9.633,-0.412,0.000,0.000,0.000,0.000,0,0.245,0.009,814,1017,1465,1104,2.655,9.339
241,0.100,4.801,11.942,-0.005,2.714,9.355,-0.046,1.307,9.262,0.000,3.020,9.645,-0.381,0.000,0.000,0.000,0.000,0,0.242,0.010,815,1017,1465,1103,2.655,9.247
242,0.100,4.801,11.942,-0.005,2.676,9.310,-0.320,1.307,9.262,0.000,3.099,9.643,-0.229,0.000,0.000,0.000,0.000,0,0.239,0.009,814,1017,1468,1103,2.747,9.339
