loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
210,0.000,-1.967,13.458,0.005,3.059,9.511,1.541,-0.868,10.580,-0.005,3.118,9.552,1.389,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1420,1032,2.930,9.430
211,0.000,-1.967,13.458,0.000,2.996,9.514,1.663,-0.868,10.580,0.000,3.118,9.540,1.450,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1416,1034,2.930,9.430
212,0.000,-1.967,13.458,0.005,2.956,9.535,1.755,-0.868,10.580,-0.005,3.123,9.571,1.328,0.000,0.000,0.000,0.000,0,0.018,0.008,798,1090,1416,1033,2.930,9.430
213,0.000,-1.967,13.458,0.000,2.958,9.528,1.663,-0.868,10.580,0.000,3.140,9.557,1.297,0.000,0.000,0.000,0.000,0,0.016,0.009,796,1091,1417,1033,3.021,9.430
214,0.000,-1.967,13.458,0.000,2.905,9.494,1.572,-0.868,10.580,0.005,3.111,9.511,1.297,0.000,0.000,0.000,0.000,0,0.016,0.008,798,1086,1417,1033,2.930,9.430
215,0.000,-1.967,13.458,0.000,2.922,9.511,1.572,-0.868,10.580,0.027,3.152,9.497,1.450,0.000,0.000,0.000,0.000,0,0.016,0.007,798,1090,1418,1032,2.930,9.522
216,0.000,-1.967,13.458,0.000,2.958,9.523,1.602,-0.846,10.580,0.000,3.195,9.490,1.572,0.000,0.000,0.000,0.000,0,0.016,0.009,798,1090,1417,1034,2.930,9.522
217,0.000,-1.967,13.458,0.000,2.996,9.549,1.724,-0.846,10.580,0.027,3.154,9.540,1.633,0.000,0.000,0.000,0.000,0,0.018,0.009,798,1090,1417,1033,2.838,9.430
218,0.000,-1.967,13.458,0.000,3.006,9.533,1.785,-0.846,10.580,0.005,3.111,9.564,1.633,0.000,0.000,0.000,0.000,0,0.016,0.008,797,1090,1418,1032,2.838,9.430
219,0.000,-1.967,13.458,0.000,3.001,9.494,1.724,-0.846,10.580,0.000,3.083,9.537,1.511,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1089,1417,1033,2.930,9.522
220,0.000,-1.967,13.458,0.000,3.030,9.499,1.633,-0.846,10.580,0.000,3.071,9.554,1.602,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1416,1032,2.930,9.522
221,0.000,-1.967,13.458,0.000,2.982,9.494,1.602,-0.846,10.580,0.000,3.102,9.566,1.480,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1417,1033,2.930,9.522
222,0.000,-1.967,13.458,0.000,2.970,9.521,1.724,-0.846,10.580,0.000,3.142,9.545,1.511,0.000,0.000,0.000,0.000,0,0.019,0.008,798,1090,1416,1032,2.930,9.430
223,0.000,-1.945,13.458,-0.005,3.023,9.535,1.785,-0.846,10.580,0.000,3.128,9.537,1.602,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1414,1032,3.021,9.430
224,0.000,-1.945,13.458,0.000,2.975,9.521,1.846,-0.846,10.580,0.000,3.171,9.502,1.694,0.000,0.000,0.000,0.000,0,0.017,0.009,798,1090,1417,1032,2.930,9.430
225,0.000,-1.945,13.458,0.000,2.932,9.490,1.999,-0.846,10.580,-0.005,3.200,9.466,1.816,0.000,0.000,0.000,0.000,0,0.016,0.008,799,1089,1418,1034,2.930,9.522
226,0.000,-1.945,13.458,0.000,2.953,9.466,1.938,-0.824,10.580,0.005,3.152,9.492,1.877,0.000,0.000,0.000,0.000,0,0.017,0.008,799,1091,1420,1034,3.021,9.522
