loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
200,0.000,-0.033,6.713,0.005,3.454,9.296,-0.259,-0.692,7.438,0.000,3.791,9.073,-0.259,0.000,0.000,0.000,0.000,0,-0.999,0.015,797,1041,1423,1034,3.388,9.339
201,0.000,-0.033,6.713,0.000,3.437,9.334,-0.137,-0.692,7.438,0.000,3.765,9.054,-0.290,0.000,0.000,0.000,0.000,0,-0.999,0.015,797,1041,1421,1035,3.388,9.247
202,0.000,-0.033,6.713,0.000,3.420,9.355,-0.107,-0.670,7.438,0.000,3.753,9.018,-0.168,0.000,0.000,0.000,0.000,0,-0.998,0.015,798,1040,1422,1034,3.388,9.247
203,0.000,-0.033,6.713,-0.005,3.475,9.391,-0.107,-0.670,7.438,0.000,3.727,9.044,-0.168,0.000,0.000,0.000,0.000,0,-0.999,0.015,796,1041,1422,1035,3.388,9.247
204,0.000,-0.033,6.713,-0.005,3.470,9.406,-0.137,-0.670,7.438,0.000,3.736,9.083,-0.290,0.000,0.000,0.000,0.000,0,-0.998,0.016,798,1041,1423,1035,3.388,9.339
205,0.000,-0.033,6.713,0.005,3.454,9.358,-0.137,-0.670,7.438,0.000,3.796,9.068,-0.473,0.000,0.000,0.000,0.000,0,-0.999,0.015,797,1040,1422,1034,3.388,9.339
206,0.000,-0.033,6.713,0.000,3.454,9.344,-0.198,-0.648,7.438,0.005,3.789,9.049,-0.290,0.000,0.000,0.000,0.000,0,-0.999,0.014,797,1041,1422,1036,3.388,9.339
207,0.000,-0.033,6.713,0.005,3.449,9.370,-0.259,-0.648,7.438,0.005,3.760,9.059,-0.076,0.000,0.000,0.000,0.000,0,-0.998,0.014,799,1041,1422,1035,3.388,9.339
208,0.000,-0.033,6.713,0.000,3.463,9.375,-0.198,-0.626,7.438,-0.005,3.770,9.090,-0.137,0.000,0.000,0.000,0.000,0,-0.999,0.014,797,1044,1423,1034,3.388,9.339
209,0.000,-0.033,6.713,0.000,3.435,9.399,-0.107,-0.626,7.438,0.000,3.818,9.063,-0.137,0.000,0.000,0.000,0.000,0,-0.999,0.013,799,1040,1422,1035,3.388,9.339
210,0.000,-0.033,6.713,-0.005,3.423,9.396,-0.137,-0.604,7.438,-0.005,3.806,9.051,-0.259,0.000,0.000,0.000,0.000,0,-0.999,0.014,797,1041,1422,1034,3.388,9.339
211,0.000,-0.033,6.713,0.000,3.430,9.394,-0.076,-0.604,7.438,0.005,3.786,9.059,-0.198,0.000,0.000,0.000,0.000,0,-0.998,0.015,797,1041,1422,1035,3.388,9.339
212,0.000,-0.033,6.713,0.000,3.401,9.411,-0.168,-0.582,7.438,0.005,3.801,9.063,-0.198,0.000,0.000,0.000,0.000,0,-0.998,0.014,798,1041,1423,1035,3.388,9.339
213,0.000,-0.033,6.713,0.005,3.444,9.425,-0.259,-0.582,7.438,-0.005,3.789,9.061,-0.259,0.000,0.000,0.000,0.000,0,-0.998,0.014,797,1043,1423,1036,3.388,9.339
214,0.000,-0.033,6.713,0.016,3.442,9.432,-0.381,-0.582,7.438,0.000,3.803,9.075,-0.229,0.000,0.000,0.000,0.000,0,-0.999,0.016,794,1041,1425,1035,3.388,9.339
215,0.000,-0.055,6.713,0.000,3.370,9.418,-0.412,-0.560,7.438,0.000,3.844,9.068,-0.137,0.000,0.000,0.000,0.000,0,-0.998,0.015,798,1043,1423,1035,3.388,9.339
216,0.000,-0.055,6.713,-0.005,3.403,9.399,-0.259,-0.560,7.438,0.000,3.818,9.068,-0.107,0.000,0.000,0.000,0.000,0,-0.999,0.016,798,1041,1422,1034,3.388,9.430
217,0.000,-0.055,6.713,0.000,3.449,9.403,-0.046,-0.538,7.438,0.000,3.818,9.061,-0.107,0.000,0.000,0.000,0.000,0,-0.997,0.015,797,1040,1423,1036,3.296,9.339
218,0.000,-0.055,6.713,0.000,3.451,9.406,-0.137,-0.538,7.438,0.005,3.798,9.066,-0.137,0.000,0.000,0.000,0.000,0,-0.998,0.015,797,1041,1423,1036,3.388,9.339
219,0.000,-0.055,6.713,0.000,3.442,9.427,-0.076,-0.516,7.438,-0.016,3.786,9.083,-0.076,0.000,0.000,0.000,0.000,0,-0.999,0.015,799,1041,1425,1035,3.388,9.339
220,0.000,-0.055,6.713,0.000,3.442,9.454,-0.046,-0.516,7.438,0.000,3.777,9.097,0.000,0.000,0.000,0.000,0.000,0,-0.998,0.016,798,1042,1423,1036,3.388,9.339
221,0.000,-0.055,6.713,0.000,3.447,9.401,-0.107,-0.516,7.438,-0.005,3.765,9.106,-0.015,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1040,1423,1035,3.388,9.339
222,0.000,-0.055,6.713,-0.005,3.444,9.403,-0.198,-0.516,7.438,-0.005,3.794,9.092,-0.168,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1040,1423,1034,3.388,9.430
223,0.000,-0.055,6.713,0.000,3.442,9.411,-0.168,-0.494,7.438,0.000,3.813,9.104,-0.351,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1041,1423,1035,3.388,9.339
224,0.000,-0.055,6.713,0.005,3.444,9.423,-0.137,-0.494,7.438,-0.005,3.844,9.116,-0.443,0.000,0.000,0.000,0.000,0,-0.999,0.016,798,1041,1425,1035,3.388,9.339
225,0.000,-0.077,6.713,0.000,3.442,9.432,-0.351,-0.472,7.438,0.000,3.844,9.106,-0.259,0.000,0.000,0.000,0.000,0,-0.999,0.016,798,1041,1423,1037,3.388,9.339
226,0.000,-0.077,6.713,0.005,3.425,9.403,-0.290,-0.472,7.438,0.000,3.770,9.147,-0.046,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1041,1423,1034,3.388,9.339
227,0.000,-0.077,6.713,0.000,3.458,9.449,-0.229,-0.472,7.438,-0.016,3.772,9.150,-0.015,0.000,0.000,0.000,0.000,0,-0.999,0.015,797,1041,1422,1034,3.388,9.430
228,0.000,-0.077,6.713,0.000,3.458,9.437,-0.198,-0.472,7.438,0.000,3.815,9.123,0.000,0.000,0.000,0.000,0.000,0,-0.999,0.016,798,1040,1424,1035,3.388,9.339
229,0.000,-0.077,6.713,0.005,3.430,9.415,-0.168,-0.472,7.438,0.005,3.798,9.123,0.046,0.000,0.000,0.000,0.000,0,-0.999,0.015,799,1040,1425,1034,3.388,9.430
230,0.000,-0.077,6.713,0.000,3.454,9.466,-0.076,-0.450,7.438,-0.005,3.803,9.114,0.076,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1040,1423,1036,3.388,9.430
231,0.000,-0.077,6.713,0.000,3.494,9.458,0.000,-0.450,7.438,0.000,3.779,9.118,0.015,0.000,0.000,0.000,0.000,0,-0.997,0.016,799,1041,1423,1035,3.388,9.339
232,0.000,-0.077,6.713,0.005,3.447,9.425,-0.015,-0.450,7.438,-0.016,3.775,9.138,0.015,0.000,0.000,0.000,0.000,0,-0.999,0.016,797,1043,1424,1035,3.388,9.430
233,0.000,-0.077,6.713,-0.005,3.435,9.423,-0.168,-0.450,7.438,-0.005,3.822,9.133,-0.015,0.000,0.000,0.000,0.000,0,-0.998,0.015,797,1042,1423,1035,3.479,9.430
234,0.000,-0.077,6.713,-0.005,3.468,9.411,-0.137,-0.428,7.438,0.000,3.837,9.128,-0.046,0.000,0.000,0.000,0.000,0,-0.999,0.017,797,1041,1424,1035,3.388,9.339
235,0.000,-0.077,6.713,0.000,3.480,9.466,-0.137,-0.428,7.438,0.000,3.832,9.150,0.000,0.000,0.000,0.000,0.000,0,-0.999,0.015,798,1041,1423,1036,3.388,9.339
236,0.000,-0.077,6.713,0.000,3.391,9.420,-0.198,-0.428,7.438,-0.005,3.844,9.166,-0.046,0.000,0.000,0.000,0.000,0,-0.998,0.016,795,1041,1423,1035,3.388,9.339
237,0.000,-0.077,6.713,0.005,3.382,9.406,-0.168,-0.407,7.438,0.000,3.868,9.164,-0.046,0.000,0.000,0.000,0.000,0,-0.999,0.015,798,1038,1423,1035,3.479,9.430
238,0.000,-0.077,6.713,-0.016,3.466,9.423,-0.137,-0.407,7.438,0.005,3.854,9.176,-0.107,0.000,0.000,0.000,0.000,0,-0.998,0.014,798,1042,1423,1035,3.388,9.339
239,0.000,-0.077,6.713,0.005,3.449,9.401,-0.076,-0.407,7.438,0.000,3.827,9.176,-0.107,0.000,0.000,0.000,0.000,0,-0.998,0.016,797,1040,1425,1035,3.296,9.339
240,0.000,-0.077,6.713,-0.005,3.451,9.418,0.107,-0.407,7.438,0.005,3.796,9.157,-0.076,0.000,0.000,0.000,0.000,0,-0.999,0.015,798,1041,1423,1036,3.388,9.339
241,0.000,-0.077,6.713,0.000,3.430,9.396,-0.015,-0.407,7.438,0.000,3.820,9.185,-0.046,0.000,0.000,0.000,0.000,0,-0.998,0.015,799,1041,1423,1034,3.388,9.339
