loopCnt,assist_level,thighDeg_RH,incPosDeg_RH,MotorActCurrent_RH,accX_Calib_RH,accY_Calib_RH,gyroZ_Calib_RH,thighDeg_LH,incPosDeg_LH,MotorActCurrent_LH,accX_Calib_LH,accY_Calib_LH,gyroZ_Calib_LH,u_RH,u_LH,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode,emg_R1,emg_L1,fsr_R1,fsr_R2,fsr_L1,fsr_L2,free_var1,free_var2
280,0.000,-4.977,19.633,0.000,2.556,9.509,0.748,-3.241,15.392,0.000,2.553,9.628,0.473,0.000,0.000,0.000,0.000,0,-0.001,0.009,785,1024,1260,944,2.564,9.430
281,0.000,-4.977,19.633,0.005,2.553,9.478,0.809,-3.241,15.392,-0.005,2.518,9.619,0.351,0.000,0.000,0.000,0.000,0,-0.001,0.009,785,1025,1260,944,2.564,9.522
282,0.000,-4.977,19.633,0.000,2.580,9.533,0.809,-3.241,15.392,0.005,2.532,9.624,0.443,0.000,0.000,0.000,0.000,0,-0.001,0.009,786,1025,1260,945,2.564,9.522
283,0.000,-4.977,19.633,-0.005,2.623,9.547,0.687,-3.241,15.392,0.000,2.553,9.636,0.443,0.000,0.000,0.000,0.000,0,-0.002,0.009,785,1024,1259,944,2.472,9.430
284,0.000,-4.955,19.633,-0.005,2.632,9.514,0.595,-3.219,15.392,0.000,2.577,9.652,0.595,0.000,0.000,0.000,0.000,0,-0.002,0.009,785,1025,1259,944,2.472,9.430
285,0.000,-4.955,19.633,-0.016,2.609,9.480,0.687,-3.219,15.392,0.005,2.568,9.612,0.595,0.000,0.000,0.000,0.000,0,-0.002,0.010,785,1024,1261,945,2.564,9.522
286,0.000,-4.955,19.633,0.000,2.582,9.490,0.717,-3.219,15.392,-0.005,2.570,9.607,0.656,0.000,0.000,0.000,0.000,0,-0.002,0.010,785,1025,1259,945,2.564,9.522
287,0.000,-4.933,19.633,0.000,2.611,9.504,0.748,-3.197,15.392,0.000,2.618,9.628,0.565,0.000,0.000,0.000,0.000,0,-0.001,0.010,784,1025,1259,944,2.564,9.430
288,0.000,-4.933,19.633,0.005,2.618,9.458,0.748,-3.197,15.392,0.005,2.587,9.612,0.504,0.000,0.000,0.000,0.000,0,-0.002,0.009,785,1024,1260,944,2.564,9.430
289,0.000,-4.933,19.633,0.000,2.565,9.461,0.748,-3.197,15.392,-0.005,2.551,9.624,0.565,0.000,0.000,0.000,0.000,0,-0.002,0.009,786,1026,1260,944,2.564,9.430
